ArraySize(inKB),Thread_Count,Random,Sequential,Read_Modify_Write,CPU_TIME,,,,
256,8,1,0,0,212.539673,,,,
256,8,1,0,0,209.411621,,,,
256,8,1,0,0,201.431274,,,,
-,-,-,-,-,,,,,
512,8,1,0,0,274.452209,,,,
512,8,1,0,0,706.047058,,,,
512,8,1,0,0,602.409363,,,,
512,8,1,0,0,448.379517,,,,
512,8,1,0,0,357.528687,,,,
512,8,1,0,0,328.552246,,,,
512,8,1,0,0,220.89386,,,,
512,8,1,0,0,229.103088,,,,
-,-,-,-,-,,,,,
1024,8,1,0,0,597.27478,,,,
1024,8,1,0,0,579.715729,,,,
1024,8,1,0,0,554.18396,,,,
1024,8,1,0,0,597.496033,,,,
1024,8,1,0,0,574.493408,,,,
1024,8,1,0,0,582.260132,,,,
1024,8,1,0,0,557.71637,,,,
1024,8,1,0,0,523.12088,,,,
-,-,-,-,-,,,,,
2048,8,1,0,0,723.237991,,,,
2048,8,1,0,0,656.934738,,,,
2048,8,1,0,0,659.126282,,,,
2048,8,1,0,0,665.512085,,,,
2048,8,1,0,0,680.702209,,,,
2048,8,1,0,0,640.638351,,,,
2048,8,1,0,0,704.687119,,,,
2048,8,1,0,0,601.110458,,,,
-,-,-,-,-,,,,,
4096,8,1,0,0,880.486488,,,,
4096,8,1,0,0,910.491943,,,,
4096,8,1,0,0,922.336578,,,,
4096,8,1,0,0,898.3078,,,,
4096,8,1,0,0,871.388435,,,,
4096,8,1,0,0,862.066269,,,,
4096,8,1,0,0,866.328239,,,,
4096,8,1,0,0,853.239059,,,,
-,-,-,-,-,,,,,
2,16,1,0,0,1152.34375,,,,
2,16,1,0,0,41.015625,,,,
2,16,1,0,0,80.078125,,,,
2,16,1,0,0,628.90625,,,,
2,16,1,0,0,509.765625,,,,
2,16,1,0,0,562.5,,,,
2,16,1,0,0,37.109375,,,,
2,16,1,0,0,9.765625,,,,
2,16,1,0,0,605.46875,,,,
2,16,1,0,0,13.671875,,,,
2,16,1,0,0,41.015625,,,,
2,16,1,0,0,144.53125,,,,
2,16,1,0,0,58.59375,,,,
2,16,1,0,0,29.296875,,,,
2,16,1,0,0,9.765625,,,,
2,16,1,0,0,31.25,,,,
-,-,-,-,-,,,,,
4,16,1,0,0,277.34375,,,,
4,16,1,0,0,6.835938,,,,
4,16,1,0,0,57.617188,,,,
4,16,1,0,0,891.601562,,,,
4,16,1,0,0,26.367188,,,,
4,16,1,0,0,23.4375,,,,
4,16,1,0,0,6.835938,,,,
4,16,1,0,0,437.5,,,,
