ArraySize(inKB),Thread_Count,Random,Sequential,Read_Modify_Write,CPU_TIME
2048.000000,8,1,0,1,654.947281
2048.000000,8,1,0,1,711.685181
2048.000000,8,1,0,1,659.503937
2048.000000,8,1,0,1,702.907562
2048.000000,8,1,0,1,642.322540
2048.000000,8,1,0,1,645.780563
-,-,-,-,-
4096.000000,8,1,0,1,912.659645
4096.000000,8,1,0,1,910.079956
4096.000000,8,1,0,1,943.311691
4096.000000,8,1,0,1,925.847054
4096.000000,8,1,0,1,910.068512
4096.000000,8,1,0,1,894.351959
4096.000000,8,1,0,1,822.700500
4096.000000,8,1,0,1,798.669815
-,-,-,-,-
2.000000,16,1,0,1,11.718750
2.000000,16,1,0,1,19.531250
2.000000,16,1,0,1,37.109375
2.000000,16,1,0,1,58.593750
2.000000,16,1,0,1,183.593750
2.000000,16,1,0,1,457.031250
2.000000,16,1,0,1,9.765625
2.000000,16,1,0,1,54.687500
2.000000,16,1,0,1,42.968750
2.000000,16,1,0,1,13.671875
2.000000,16,1,0,1,107.421875
2.000000,16,1,0,1,52.734375
2.000000,16,1,0,1,29.296875
2.000000,16,1,0,1,11.718750
2.000000,16,1,0,1,93.750000
2.000000,16,1,0,1,66.406250
-,-,-,-,-
4.000000,16,1,0,1,8.789062
4.000000,16,1,0,1,19.531250
4.000000,16,1,0,1,39.062500
4.000000,16,1,0,1,55.664062
4.000000,16,1,0,1,70.312500
4.000000,16,1,0,1,58.593750
4.000000,16,1,0,1,78.125000
4.000000,16,1,0,1,483.398438
4.000000,16,1,0,1,8.789062
4.000000,16,1,0,1,7.812500
4.000000,16,1,0,1,217.773438
4.000000,16,1,0,1,19.531250
4.000000,16,1,0,1,31.250000
4.000000,16,1,0,1,27.343750
4.000000,16,1,0,1,15.625000
4.000000,16,1,0,1,122.070312
-,-,-,-,-
8.000000,16,1,0,1,6.835938
8.000000,16,1,0,1,6.835938
8.000000,16,1,0,1,25.878906
8.000000,16,1,0,1,7.324219
8.000000,16,1,0,1,7.812500
8.000000,16,1,0,1,61.523438
8.000000,16,1,0,1,34.179688
8.000000,16,1,0,1,6.835938
8.000000,16,1,0,1,8.300781
8.000000,16,1,0,1,36.621094
8.000000,16,1,0,1,56.640625
8.000000,16,1,0,1,22.460938
8.000000,16,1,0,1,52.734375
8.000000,16,1,0,1,12.695312
8.000000,16,1,0,1,7.324219
8.000000,16,1,0,1,5.371094
-,-,-,-,-
16.000000,16,1,0,1,7.324219
16.000000,16,1,0,1,435.791016
16.000000,16,1,0,1,450.927734
16.000000,16,1,0,1,34.179688
16.000000,16,1,0,1,73.486328
16.000000,16,1,0,1,58.837891
16.000000,16,1,0,1,371.826172
16.000000,16,1,0,1,1837.402344
16.000000,16,1,0,1,6.103516
16.000000,16,1,0,1,10.742188
16.000000,16,1,0,1,22.460938
16.000000,16,1,0,1,151.123047
16.000000,16,1,0,1,11.962891
16.000000,16,1,0,1,12.695312
16.000000,16,1,0,1,11.474609
16.000000,16,1,0,1,18.066406
-,-,-,-,-
32.000000,16,1,0,1,6.835938
32.000000,16,1,0,1,2092.041016
32.000000,16,1,0,1,30.639648
32.000000,16,1,0,1,30.883789
32.000000,16,1,0,1,31.005859
32.000000,16,1,0,1,78.491211
32.000000,16,1,0,1,105.224609
32.000000,16,1,0,1,127.563477
32.000000,16,1,0,1,7.568359
32.000000,16,1,0,1,9.643555
32.000000,16,1,0,1,54.199219
32.000000,16,1,0,1,60.791016
32.000000,16,1,0,1,6.225586
32.000000,16,1,0,1,24.780273
32.000000,16,1,0,1,13.061523
32.000000,16,1,0,1,6.103516
-,-,-,-,-
64.000000,16,1,0,1,283.447266
64.000000,16,1,0,1,84.899902
64.000000,16,1,0,1,21.545410
64.000000,16,1,0,1,9.460449
64.000000,16,1,0,1,9.460449
64.000000,16,1,0,1,9.643555
64.000000,16,1,0,1,3.784180
64.000000,16,1,0,1,18.188477
64.000000,16,1,0,1,21.667480
64.000000,16,1,0,1,1736.389160
64.000000,16,1,0,1,32.104492
64.000000,16,1,0,1,11.291504
64.000000,16,1,0,1,5.676270
64.000000,16,1,0,1,48.156738
64.000000,16,1,0,1,18.249512
64.000000,16,1,0,1,19.897461
-,-,-,-,-
128.000000,16,1,0,1,13.336182
128.000000,16,1,0,1,14.068604
128.000000,16,1,0,1,162.750244
128.000000,16,1,0,1,232.177734
128.000000,16,1,0,1,287.750244
128.000000,16,1,0,1,252.166748
128.000000,16,1,0,1,74.005127
128.000000,16,1,0,1,220.458984
128.000000,16,1,0,1,294.219971
128.000000,16,1,0,1,25.451660
128.000000,16,1,0,1,138.153076
128.000000,16,1,0,1,137.725830
128.000000,16,1,0,1,36.926270
128.000000,16,1,0,1,61.309814
128.000000,16,1,0,1,58.746338
128.000000,16,1,0,1,16.937256
-,-,-,-,-
256.000000,16,1,0,1,508.132935
256.000000,16,1,0,1,536.621094
256.000000,16,1,0,1,94.314575
256.000000,16,1,0,1,333.206177
256.000000,16,1,0,1,91.567993
256.000000,16,1,0,1,614.547729
256.000000,16,1,0,1,255.584717
256.000000,16,1,0,1,157.470703
256.000000,16,1,0,1,278.778076
256.000000,16,1,0,1,1362.487793
256.000000,16,1,0,1,114.944458
256.000000,16,1,0,1,37.078857
256.000000,16,1,0,1,183.090210
256.000000,16,1,0,1,57.739258
256.000000,16,1,0,1,79.315186
256.000000,16,1,0,1,73.120117
-,-,-,-,-
512.000000,16,1,0,1,471.618652
512.000000,16,1,0,1,121.772766
512.000000,16,1,0,1,196.990967
512.000000,16,1,0,1,422.080994
512.000000,16,1,0,1,1083.976746
512.000000,16,1,0,1,1069.282532
512.000000,16,1,0,1,900.054932
512.000000,16,1,0,1,598.892212
512.000000,16,1,0,1,702.568054
512.000000,16,1,0,1,680.793762
512.000000,16,1,0,1,1243.446350
512.000000,16,1,0,1,1129.753113
512.000000,16,1,0,1,957.603455
512.000000,16,1,0,1,751.953125
512.000000,16,1,0,1,432.670593
512.000000,16,1,0,1,743.888855
-,-,-,-,-
1024.000000,16,1,0,1,881.736755
1024.000000,16,1,0,1,1253.108978
1024.000000,16,1,0,1,802.173615
1024.000000,16,1,0,1,1193.798065
1024.000000,16,1,0,1,792.751312
1024.000000,16,1,0,1,1245.231628
1024.000000,16,1,0,1,807.006836
1024.000000,16,1,0,1,1010.688782
1024.000000,16,1,0,1,1198.486328
1024.000000,16,1,0,1,1201.133728
1024.000000,16,1,0,1,1048.614502
1024.000000,16,1,0,1,958.168030
1024.000000,16,1,0,1,1120.914459
1024.000000,16,1,0,1,987.243652
1024.000000,16,1,0,1,943.500519
1024.000000,16,1,0,1,995.109558
-,-,-,-,-
2048.000000,16,1,0,1,1582.235336
2048.000000,16,1,0,1,1554.018021
2048.000000,16,1,0,1,1688.352585
2048.000000,16,1,0,1,1810.010910
2048.000000,16,1,0,1,1534.437180
2048.000000,16,1,0,1,1602.130890
2048.000000,16,1,0,1,1724.403381
2048.000000,16,1,0,1,1399.761200
2048.000000,16,1,0,1,1499.547958
2048.000000,16,1,0,1,1572.803497
2048.000000,16,1,0,1,1622.070312
2048.000000,16,1,0,1,1486.166000
2048.000000,16,1,0,1,1416.154861
2048.000000,16,1,0,1,1187.311172
2048.000000,16,1,0,1,1493.486404
2048.000000,16,1,0,1,1362.371445
-,-,-,-,-
4096.000000,16,1,0,1,1238.083839
4096.000000,16,1,0,1,2041.387558
4096.000000,16,1,0,1,2135.542870
4096.000000,16,1,0,1,2084.006310
4096.000000,16,1,0,1,2042.336464
4096.000000,16,1,0,1,1939.570427
4096.000000,16,1,0,1,2019.949913
4096.000000,16,1,0,1,2157.490730
4096.000000,16,1,0,1,2115.238190
4096.000000,16,1,0,1,2062.617302
4096.000000,16,1,0,1,2002.566338
4096.000000,16,1,0,1,1907.011032
4096.000000,16,1,0,1,1947.484970
4096.000000,16,1,0,1,1788.662910
4096.000000,16,1,0,1,1850.252151
4096.000000,16,1,0,1,1720.315933
-,-,-,-,-
